m,f,round_n,stratege_type,外貌_x,内涵_x,财富_x,均分_x,外貌_y,内涵_y,财富_y,均分_y
m396,f5250,1,1,73.18765975519675,65.47319470020616,60.18159730360715,66.28081725300335,81.22704837548068,57.63308928072379,71.1491662981959,70.00310131813346
m399,f3483,1,1,66.1552132476739,96.80526574442257,45.69568532869476,69.55205477359708,55.730100012629215,62.84918428596932,89.68773127605593,69.42233852488482
m406,f3587,1,1,62.859114518227244,55.3679718474074,50.00179379533647,56.076293386990365,45.03306881405017,57.10498290891902,48.96443705818851,50.367496260385906
m411,f3161,1,1,45.953639064156114,81.84321772244375,58.18535612599398,61.99407097086461,57.239753319734426,52.73931999860696,67.69730541392174,59.22545957742104
m416,f2927,1,1,45.19989667577755,53.36800844781587,45.17811011013562,47.91533841124302,31.627200695134352,57.74924206458422,51.03736861610402,46.80460379194087
m417,f7421,1,1,50.88790710979439,53.447616510737724,70.60186647068556,58.31246336373923,68.05204057876485,70.13510551181926,45.15948156379962,61.11554255146124
m436,f6688,1,1,63.957443663851,84.99987064831065,49.878970921494286,66.27876174455197,71.4164731235071,68.3971550963356,46.605857523419026,62.139828581087244
m440,f9911,1,1,69.80175729151809,65.25527605368049,60.25785960653208,65.10496431724356,70.08017243900795,64.88511948516906,47.0255800182302,60.663623980802406
m449,f2392,1,1,84.46230835694065,72.7145369554081,47.63286219896013,68.26990250376963,75.486190745328,63.1373875840633,50.77825414156244,63.133944156984576
m458,f7838,1,1,53.37333782230788,53.18417308692321,59.99144216831816,55.51631769251642,53.047906293372044,54.8232105177328,64.97285007907253,57.614655630059126
m465,f8194,1,1,63.19091400584622,40.057464992869136,48.01270561244885,50.42036153705473,44.52230666310004,44.31995006673874,49.840573473549426,46.22761006779607
m496,f4962,1,1,54.43315622077321,42.795841485505974,68.96270457385936,55.39723409337952,70.02535012455965,53.23668485306144,54.33788490903791,59.199973295553
m499,f9866,1,1,51.004096731689685,49.09004562789843,64.69977217694895,54.93130484551236,57.80872074515893,51.44048869462272,75.02901787925711,61.42607577301292
m510,f6018,1,1,49.04770500744969,71.75349701368481,48.114712689062046,56.30530490339885,36.208148268130074,60.0745980413344,70.99455388849834,55.7591000659876
m523,f6616,1,1,64.89240717205573,80.53222773159155,45.728648902810754,63.717761268819345,62.322035071702985,71.34647151520558,51.385796014737465,61.68476753388202
m540,f4377,1,1,70.99535739304014,29.983701196906406,47.24889839114293,49.409318993696495,48.28906261864415,39.140549157102775,71.68045867397699,53.03669014990797
m541,f1652,1,1,54.109854544006446,62.6610807051913,57.13804960185092,57.96966161701622,40.200827883793146,67.75506721855756,46.37309918882226,51.442998097057654
m545,f6239,1,1,59.25270103889481,63.07997779890854,49.653065553357294,57.32858146372022,57.419536512121866,46.34604881805613,57.65073961326172,53.80544164781324
m546,f3223,1,1,50.539751262733986,78.40468182718094,80.89733182545675,69.94725497179057,75.16119847304859,70.65728442189686,45.523183219526466,63.780555371490635
m549,f3915,1,1,71.11619355279161,44.18453536698263,76.90146260001447,64.0673971732629,65.85120224061531,71.76936743329512,47.79832237485205,61.80629734958749
m553,f577,1,1,80.13738271796264,80.84080395088978,45.99911774396146,68.9924348042713,77.62700141827071,75.07508324534653,45.026523522436,65.90953606201775
m558,f8324,1,1,45.69108309863968,64.83209248744616,47.76904218372578,52.7640725899372,50.65505258220652,46.91707079695572,76.0698905896403,57.88067132293418
m563,f2507,1,1,60.178925314912306,68.8430603168867,52.36049427660862,60.46082663613587,94.5354535801495,39.45259790661001,58.57420325900512,64.1874182485882
m569,f5718,1,1,70.86590096841465,61.80400450960866,62.51664348055601,65.06218298619311,74.66231160097266,62.01960763858638,56.837622522296286,64.50651392061845
m576,f5203,1,1,63.9728748062267,76.46445259625584,68.95907639604607,69.7988012661762,64.20406702212543,77.37615545243814,75.70450300641889,72.42824182699415
m579,f9655,1,1,71.46563785920446,69.19285279079278,60.049295022300726,66.90259522409933,69.19049906508046,54.04000383740719,58.2021510060258,60.47755130283781
m587,f7955,1,1,51.46370900218415,58.71947838828104,91.14812717475058,67.11043818840525,62.01696054445481,59.51622040338623,65.19582350528883,62.24300148437663
m588,f3488,1,1,60.23344453005889,67.91783822960006,54.56772640256854,60.90633638740917,28.310893765899678,89.7409471478808,45.178191662934495,54.41001085890499
m594,f9454,1,1,43.15008015683712,50.653571141339455,91.59366995647747,61.79910708488469,52.48343436729753,88.14421167017395,50.97704701221781,63.868231016563094
m595,f1323,1,1,62.23109822357777,68.1970786619716,45.85425387199159,58.76081025251366,48.75987480788299,42.64194068767861,80.51493087843477,57.305582124665456
m602,f3266,1,1,71.86587391831543,78.31319613663862,46.603427000352085,65.59416568510204,66.69478534000746,71.61698835790777,57.59745849647548,65.30307739813024
m609,f6670,1,1,71.04880531875644,46.993347740994075,53.25551351908619,57.09922219294557,66.77527124537417,42.63046458709736,48.59573262838988,52.667156153620475
m611,f9767,1,1,56.077538419838,45.42784677722172,51.54732903364537,51.01757141023503,25.820048274297257,63.33325125023334,48.91660583273987,46.02330178575682
m623,f8705,1,1,71.97011966726419,54.00390544105867,50.77059158743266,58.91487223191851,31.3230877586378,78.57392358266242,61.178688214978365,57.025233185426195
m627,f4971,1,1,39.920302287613225,69.61813867725999,49.60206042192492,53.046833795599376,42.37663711577814,74.95663705602789,47.87336289640007,55.06887902273536
m630,f5527,1,1,49.33580197204632,52.34278168610692,67.60783596807681,56.42880654207668,49.13171687607833,69.18681466275203,50.94438981325861,56.420973784029655
m636,f6092,1,1,83.29288563683711,46.25251003947888,78.50225469503981,69.34921679045193,81.45696016803863,85.61386264194482,60.5661997868426,75.87900753227535
m638,f4406,1,1,49.298301426293875,59.14247702175071,74.84600945667673,61.09559596824044,79.96764297649875,56.485775597265395,59.13007589595138,65.19449815657184
m651,f7628,1,1,68.40742484792949,46.03375083219996,49.23583760963891,54.55900442992279,61.57593895989059,27.913843022966205,69.71967576448884,53.06981924911522
m657,f1358,1,1,76.81607156493749,49.74097094382357,72.15784245614569,66.23829498830224,90.98390401787836,65.7068403949595,58.4723717786604,71.72103873049942
m6530,f4286,1,1,80.87483337275356,66.07382323376378,86.36010246186609,77.7695863561278,49.029218151749795,68.35399019982921,98.3772506107956,71.9201529874582
m660,f7361,1,1,52.744413772787226,69.81857459870106,48.540973068905615,57.03465381346464,56.29433848814828,75.19872115180222,55.44799350475603,62.313684381568834
m666,f5319,1,1,68.76634921098292,53.980581370916425,62.47553921849675,61.74082326679869,69.70092117305533,67.39559644778592,54.5465343045111,63.88101730845079
m674,f5775,1,1,53.9171581247458,57.84352425260795,86.68869391660564,66.14979209798646,60.0465434200165,65.59166143527197,68.9612319131798,64.86647892282276
m675,f7499,1,1,48.04024031422342,41.97879308288416,60.134965100060285,50.051332832389285,51.85209549453567,25.292022155098778,66.86111744485592,48.00174503149679
m678,f898,1,1,69.03978737326221,57.49676088126744,47.13910426182126,57.89188417211697,29.508779452586563,70.70894858182967,57.47111629636932,52.56294811026186
m679,f7108,1,1,58.389629667386096,59.25086044341969,45.04558237595745,54.22869082892108,53.99931550388524,55.68868138139566,49.07345270411085,52.92048319646392
m680,f7560,1,1,67.7503138865437,76.2440036401676,52.01122018399225,65.33517923690118,66.40595487062008,70.9850004640056,45.27615979946484,60.88903837803017
m694,f2515,1,1,90.28416892977631,60.924904411987,49.50273078762264,66.90393470979531,64.09044774968343,65.58752475591007,83.6021835522937,71.09338535262907
m710,f4780,1,1,64.23653803096947,67.21498177999548,46.30924737200952,59.25358906099149,63.311559043302665,43.49354642552157,76.52711259631164,61.11073935504529
m711,f8079,1,1,47.13625588082535,59.69094341851521,57.50056818006419,54.77592249313492,51.60091612854419,68.24215510322038,62.71577743308748,60.852949554950676
m714,f1520,1,1,81.09950537439653,46.2244966876011,47.14020747255442,58.15473651151735,61.18234126729596,55.6012974314517,46.28880797736134,54.357482225369665
m722,f3738,1,1,53.214382483425034,72.74283174763058,45.15536971149163,57.037527980849084,75.3407653807445,52.11508687718999,59.540031730350066,62.33196132942819
m727,f1382,1,1,57.32777597352465,65.66075446100244,46.49450000568138,56.494343480069496,63.5869304513243,55.881586953822655,48.20699570736046,55.89183770416914
m752,f2618,1,1,69.8555623312144,57.46456086532231,52.921379677494684,60.08050095801047,73.96546602935129,69.5092087619419,46.13381946801771,63.2028314197703
m755,f1985,1,1,52.85176486539803,54.55510003457758,52.57286385104379,53.3265762503398,53.59986681178697,46.45491307515838,45.53234399552816,48.52904129415784
m764,f5377,1,1,72.22768458594192,55.84764210463622,63.745984102953855,63.94043693117734,43.91952940193244,77.05433717323977,83.60681437533489,68.1935603168357
m767,f5075,1,1,43.980276351869904,61.50930109698479,50.69460040057322,52.06139261647596,50.0100408271942,49.206944625926035,47.64493117603827,48.953972209719495
m769,f1268,1,1,63.638811385041336,79.60856356818462,57.745608363483385,66.99766110556978,69.56738612073039,61.289580999845946,60.73131171228647,63.86275961095427
m772,f332,1,1,53.031369874836585,70.78552791335643,45.7450431978244,56.52064699533914,70.29559610111266,33.32557686087015,53.27003420518943,52.29706905572408
m780,f8680,1,1,62.222189549824705,70.51336378691622,46.3984367504709,59.71133002907061,74.53527558835349,38.281437308669936,66.72392794579312,59.84688028093885
m794,f4965,1,1,49.13154050172032,47.715912219413596,76.27259816274534,57.706683627959755,76.74416623074418,44.84752199273325,61.076033812895105,60.88924067879085
m797,f1437,1,1,54.94731213444709,75.59680696531079,54.818464966783694,61.78752802218052,45.32644013613127,61.92605478161554,78.62514270191781,61.9592125398882
m802,f8677,1,1,45.14035532104823,52.60269796085455,47.953659081747006,48.56557078788327,41.052313061419824,43.6147478273393,63.339676033570115,49.33557897410975
m806,f2044,1,1,59.91047584958543,55.73403925781124,55.41491851108289,57.01981120615985,60.25144783765403,59.70665297502741,53.76302594788429,57.9070422535219
m807,f3817,1,1,75.25211138539385,57.43532040946172,66.76289721044323,66.48344300176626,71.56677142184142,57.71028953946075,51.554715241451305,60.277258734251156
m1373,f5932,1,1,46.58161809195728,58.353419330411505,56.546116647108164,53.82705135649231,58.37231181419658,52.56952516422554,52.68039403170292,54.54074367004168
m827,f4556,1,1,82.92542237414153,47.97467066669844,72.75831639909357,67.88613647997785,66.52708246136648,74.34969024348737,51.99741907655222,64.29139726046868
m830,f8851,1,1,66.23823302333086,37.03826216888265,50.19539818448834,51.157297792233955,58.148631751313026,55.64921192441796,50.38584974338271,54.72789780637123
m838,f5252,1,1,47.406883763509896,69.12023217125699,91.76365649189542,69.43025747555409,72.93154062651685,65.45339912907427,51.867414147807295,63.41745130113281
m845,f9925,1,1,78.50701445268575,74.85303481427407,54.85641066151612,69.40548664282531,42.293704944656696,82.63821211676776,72.00958071377688,65.64716592506711
m853,f753,1,1,59.310301534454325,48.027994681457905,47.78623837606402,51.708178197325424,47.50839335056763,70.7901489381067,53.115487877088896,57.138010055254405
m863,f7028,1,1,64.42748991834618,66.52142060981963,47.73380754716199,59.56090602510926,61.19050830068968,74.26097403414896,48.841417209366966,61.430966514735196
m866,f4626,1,1,52.895881384687954,43.59455467124704,53.47901985634947,49.98981863742815,56.681384849647735,44.1335440875833,46.55007296867111,49.121667301967385
m869,f3672,1,1,79.1275043581322,44.37068908537436,55.16887407257876,59.555689172028444,54.24610121414072,46.83837735473055,65.23278533049563,55.439087966455624
m871,f6243,1,1,69.10787569335427,58.5481458637912,48.97695753020968,58.87765969578505,47.54131577127951,65.44434033172205,51.37657248955101,54.78740953085085
m895,f6423,1,1,57.35794280352037,66.0266228078516,55.619632958360285,59.668066189910746,73.11778263405651,39.37092887650104,55.1227449631014,55.870485491219654
m903,f4457,1,1,59.772468106396545,86.22455504011774,46.63308582706009,64.21003632452478,62.45840354207531,63.463967767136054,55.668866230139656,60.53041251311701
m911,f9522,1,1,43.617746337608025,42.74342532948609,57.38932510370488,47.91683225693299,62.916211890118944,39.46728576021155,48.22015237214404,50.20121667415818
m912,f8356,1,1,68.7840181596958,60.061507913044615,52.53690328240677,60.46080978504906,51.83853355313376,64.1366836142783,50.950488748925196,55.641901972112414
m923,f8072,1,1,53.62312391150481,52.94618618199375,57.495277561741375,54.68819588507998,71.51500498535204,55.48037150850909,45.130957797634004,57.375444763831716
m924,f5430,1,1,53.8862956957404,66.94859618421958,60.338735820624535,60.39120923352817,55.71816819821752,67.30504122994684,45.698403864898296,56.24053776435422
m938,f2585,1,1,59.855103858631836,82.64781318500518,46.77919227280324,63.09403643881342,55.240964652756304,83.51052899595858,48.73316567233457,62.49488644034982
m948,f6452,1,1,63.42775675996126,61.76983783891427,57.3136173100053,60.83707063629361,74.83113508496609,59.68984212615812,54.0288272408539,62.84993481732604
m962,f4881,1,1,38.48003613910387,66.99361795020971,76.89501435188852,60.78955614706737,75.73503344097661,38.15315324796926,54.731688915490665,56.206625201478836
m968,f931,1,1,76.63237279805062,47.36076449590461,69.65213114252902,64.54842281216142,46.72114075198543,79.18992680195915,57.92774715618857,61.27960490337771
m979,f7680,1,1,69.02540345992917,59.23919748895278,62.24081620675405,63.501805718545334,56.59477345885666,29.37591652089177,103.03502590388425,63.00190529454422
m985,f6844,1,1,60.909859373026045,59.51328303070431,45.43379227125099,55.285644891660446,47.822062348929464,54.40612313232746,49.747374179130276,50.65851988679574
m988,f1859,1,1,66.36513322262108,47.72144152993436,47.82237016095451,53.96964830450332,24.19501017086513,80.73596852404837,52.04415492544938,52.32504454012096
m991,f8570,1,1,81.53815862222694,63.99955178206944,56.811787976872694,67.44983279372302,71.03360812805762,63.06924380106528,51.04096276357643,61.71460489756644
m993,f2818,1,1,73.09615120584058,56.37476895274652,70.44466620229518,66.63852878696076,57.91587193858922,57.933770154045504,74.30366424336968,63.38443544533481
m994,f8106,1,1,72.37178215917064,75.5818753777668,57.3867138881335,68.44679047502365,63.26494251421651,86.43542076873035,68.02037700773252,72.57358009689312
m995,f9413,1,1,35.22232339874769,92.59077049294169,49.79909240552415,59.204062099071166,54.678349257121354,70.34048652072387,49.43139582850432,58.15007720211651
m998,f5387,1,1,50.62345157960254,61.1010266163309,76.38572192831585,62.70340004141642,82.24767714177788,55.162917569779296,55.63962267977075,64.35007246377597
m1003,f7023,1,1,57.73780686227583,55.66559334021018,78.13962565515108,63.84767528587903,77.36805904129187,77.61418919114428,47.15462077926801,67.37895633723473
m1008,f3786,1,1,82.2033540224089,45.67377402462189,63.42891769516224,63.76868191406434,55.45548189095673,39.91402902988294,79.82622357501194,58.39857816528387
m1028,f4295,1,1,50.0975951423317,63.168488259337764,49.24032295171894,54.16880211779613,64.11225989923035,43.795048248623814,45.417059206339374,51.108122451397854
m1035,f4650,1,1,41.928855627382106,72.86958468943384,45.44933187001968,53.41592406227854,40.53613316981617,67.60773368138827,48.165198687771124,52.10302184632519
m1050,f2843,1,1,70.27088654894015,43.0170422218724,46.00788447313564,53.0986044146494,31.5219609905704,66.51723481699224,54.32550940911723,50.78823507222663
m1053,f7465,1,1,59.796745165054,66.34852080676256,60.027696490210786,62.05765415400912,52.75114054112086,55.099786209952185,77.92179470394885,61.924240485007296
m1055,f945,1,1,52.465923387909356,55.34099559240087,62.87138993972155,56.89276964001059,51.285018967165065,70.19293060348295,58.223616235463965,59.900521935370655
m6653,f9641,1,1,49.353094311345785,67.66420669931752,85.37644658538107,67.46458253201479,75.57261391426336,64.8756828273815,47.78764176159344,62.745312834412765
m1059,f5069,1,1,86.80274803033704,35.36844711419661,56.129249238287,59.43348146094022,44.77349009721554,57.79749385273719,81.21650090729145,61.26249495241473
m1071,f1263,1,1,78.22240331175406,81.49439184995036,58.90946301000969,72.87541939057138,92.33910222403124,88.149968540799,47.886239536608606,76.12510343381295
m7191,f3829,1,1,47.92264062934507,77.87988512120731,46.58938182037512,57.463969190309165,40.45282437169962,74.94077449627473,54.79735655724552,56.73031847507329
m1094,f8914,1,1,37.128861882426094,71.132233329305,79.562729761004,62.60794165757836,75.81127639761317,62.657396059938335,65.79502499087627,68.08789914947593
m1097,f7514,1,1,64.99601220652107,50.36280249878211,49.34224688311551,54.900353862806234,37.16721690047574,53.6871044830394,56.1070092420326,48.98711020851592
m1104,f1476,1,1,82.43685259666813,51.175895532753465,50.59026554056835,61.40100455666332,45.13624532354328,63.33862626395321,61.795305394135625,56.75672566054404
m1108,f8565,1,1,76.88430466656717,47.700223762615906,46.82697380010253,57.13716740976187,44.71402776084794,50.54724732907218,62.09077577620309,52.45068362204106
m1147,f8390,1,1,72.34118192955937,79.15447362724635,58.63644260943313,70.04403272207962,60.82145419558616,71.86292740815833,60.69219806136255,64.45885988836902
m1157,f1300,1,1,68.91624049124275,36.35811543107467,58.48108693440227,54.58514761890657,42.45812886156552,51.99702332090773,61.918813258095085,52.12465514685611
m1162,f315,1,1,71.7977467358999,67.23062580625286,48.468543656701996,62.49897206628492,65.06997372428647,61.91465934510465,66.6350905252281,64.53990786487306
m1165,f3073,1,1,45.28438404231597,82.47035096071609,57.90868610936525,61.88780703746576,66.63858847035971,52.019553413997244,54.233983960640245,57.630708614999065
m1173,f4404,1,1,38.79232624279847,84.30223988876827,51.94654965158773,58.34703859438482,67.152364737653,46.27660651357541,46.48687035002043,53.30528053374962
m1182,f424,1,1,59.792387644498035,64.01797770412165,58.45637270200933,60.75557935020967,72.228855254843,54.18679781687484,63.15382399938014,63.189825690366
m1188,f4705,1,1,69.79314194676631,44.31424241170258,46.76620838302139,53.62453091383009,51.94823747245422,53.196696419297,50.59706656419361,51.91400015198161
m1191,f7346,1,1,62.708707782446574,46.137272104161305,46.44235086046055,51.76277691568947,41.58567110101552,35.76426733788632,66.25502531006782,47.86832124965655
m1201,f3608,1,1,70.54057487054929,41.174053797361346,94.60359668194306,68.77274178328457,83.55685677288822,77.15426440948247,64.45017450439366,75.05376522892145
m1220,f6240,1,1,59.93459920628491,59.87241855356186,57.25504491353851,59.02068755779509,77.94829087185826,50.3183749607766,47.02019184452506,58.42895255905331
m1241,f5536,1,1,66.74075215572735,52.7424410894391,51.469552348806815,56.98424853132442,64.8255219413292,50.313795813093634,59.49592492826366,58.2117475608955
m1244,f722,1,1,56.295429205298326,61.86394399164881,46.986006462202184,55.04845988638311,51.13999344243231,53.744028436790266,58.79912587732565,54.56104925218275
m1247,f1272,1,1,83.85448792247072,48.7431628428322,56.10522635359928,62.90095903963407,55.325897530002436,65.5564408494837,48.40732596886107,56.42988811611574
m1248,f7728,1,1,86.72073074569329,64.32915415151007,58.55467911009792,69.86818800243377,60.34040588676839,62.258158014703724,83.11093536990361,68.56983309045857
m1249,f3450,1,1,53.036368657898166,72.30853919495111,76.57429499002627,67.30640094762519,58.619859092268584,75.76790007596088,51.22405684130537,61.87060533651161
m1257,f2213,1,1,41.21269936403118,51.51141763803389,63.86752542221289,52.19721414142598,74.12243752472416,55.45373170867501,46.42760358067912,58.667924271359425
m1258,f780,1,1,66.62032563117023,67.17555578071712,50.981273865585806,61.59238509249105,71.09388595462795,83.68073503378885,46.46819468628735,67.0809385582347
m1265,f2924,1,1,61.95166972540139,71.15604270988909,65.08952104919143,66.06574449482731,57.06968450708136,79.78676023450889,49.81877894521344,62.2250745622679
m1281,f312,1,1,63.77155953369769,41.66439339304837,54.75694690916207,53.39763327863604,49.79692338820733,71.43886700005035,52.67036688789214,57.968719092049945
m1283,f9594,1,1,57.46495469093351,62.309618472484274,69.21315558828951,62.995909583902424,85.87744944838249,62.08139383457464,47.20251728627676,65.05378685641129
m1290,f4830,1,1,73.21127128288136,84.40264827871006,45.90500217787144,67.83964057982094,45.074830764145325,76.75931250019573,63.42421848880119,61.752787251047415
m1309,f3819,1,1,63.80541514050241,66.14772971640504,55.843149785225066,61.932098214044174,56.51919135897317,65.66716291058559,76.623664809035,66.27000635953125
m1321,f7279,1,1,46.380053113810504,73.82338963198855,46.08775437250461,55.430399039434555,40.899475987925925,57.71690087843737,60.2783911509822,52.964922672448495
m1322,f3377,1,1,44.90777210182857,46.84736331118286,50.71850242451701,47.49121261250948,68.41962266824913,32.306035368367816,48.9686610215053,49.89810635270741
m1324,f9679,1,1,77.58268680796678,47.349583919803614,62.167874737049345,62.36671515493992,62.264031805151625,55.15355820301535,59.54013126784541,58.98590709200413
m1345,f8877,1,1,45.16828583413765,61.797650855888485,57.59023916983749,54.85205861995454,54.44724714467412,34.78055145177708,56.636555640857324,48.62145141243618
m1349,f4002,1,1,59.575928757913765,96.37340607682111,64.71751997619725,73.55561827031072,48.33143282318425,83.02575912189867,79.68878744011795,70.34865979506695
m1356,f474,1,1,54.54688815982465,66.91274885074019,54.29161165380371,58.58374955478951,57.30782595701332,66.15056492687565,45.74270675061339,56.40036587816744
